SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
C[C@H](C(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C5N4C=CC=C5)Cl)OC)O,,,32.032737,507.18,2,9,6,137.9785,108.12,3.2263
C[C@H](C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F,3.9,0.0148,2569.743,349.05,0,5,6,85.603,57.65,3.6101
C[C@H](C1=NC2=C(C=CC=N2)C(=O)N1C3=CC=C(C=C3)Cl)N(CC4CCS(=O)(=O)CC4)C(=O)CC5=CC(=C(C=C5)C(F)(F)F)F,,,13.052259,650.14,0,7,7,156.7568,102.23,5.5491
C[C@H](CC1=CC(=CC=C1)CC(=O)NC23CC4CC(C2)CC(C4)C3)NC[C@@H](C5=CC(=C(C=C5)O)CO)O,,,55.72017,492.3,5,5,10,139.3498,101.82,3.7662
C[C@H](CF)CN1[C@H](C)Cc2cc(O)ccc2[C@H]1c1ccc(/C=C/C(=O)O)cc1,4.43,0.026,254.43,383.19,2,3,6,108.0726,60.77,4.4316
C[C@H](CF)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2C[C@H]1C,4.71,0.009,432.531,419.17,2,3,6,107.9886,60.77,4.7098
C[C@H](CF)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2CC1(C)C,5.1,0.002,99.2277,433.19,2,3,6,112.6056,60.77,5.0999
C[C@H](CF)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C,4.82,0.01,35.6202,397.21,2,3,6,112.6896,60.77,4.8217
C[C@H](CO)CN1[C@H](C)Cc2c([nH]c3ccccc23)[C@H]1c1ccc(/C=C/C(=O)O)cc1,4.23,0.046,66.1518,404.21,3,3,6,119.3753,76.56,4.2301
C[C@H](CO)NC1=NC(=NC2=C1C=NN2)SCC3=C(C(=CC=C3)F)F,,,45.237654,351.1,3,6,6,87.7732,86.72,2.7161
C[C@H](CO)NC1=NC(=NC2=C1N=CC(=O)N2)SCC3=C(C(=CC=C3)F)F,2.08,0.012,59.078646,379.09,3,7,6,94.0432,103.79,2.0763
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,3.03,0.026,19.311237,383.07,3,8,6,95.7119,96.95,3.0317
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=CC=CC=C3F,,,14.629725,365.08,3,8,6,95.7539,96.95,2.8926
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=C(C(=CC=C3)Cl)F,3.26,0.0008,50.657013,400.02,3,7,6,99.1772,90.9,3.2571
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3,2.46,0.0027,49.486635,348.07,3,7,6,94.2092,90.9,2.4646
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CC=C3F,2.6,0.0016,76.634316,366.06,3,7,6,94.1672,90.9,2.6037
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CO3,2.06,0.018,69.45939,338.05,3,8,6,86.4752,104.04,2.0576
