SMILES,1A2,2B6,2A6,3A4,2CB,2C9,2C19,2D6,2E1,1A1,1A3,1A4,1A6,1A9,2B4,2B7,2B10,2B15,2B17,1A1,1B1,1E1,2A1
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,6.547196388244629,6.447072982788086,6.458327770233154,6.053046226501465,6.415990829467773,6.419897079467773,6.426268577575684,6.569470405578613,6.4906229972839355,6.019710540771484,6.054811954498291,6.012203693389893,6.028083801269531,6.02964973449707,6.017406463623047,6.041021823883057,6.027318954467773,6.016680717468262,6.008597373962402,5.913272857666016,5.788662910461426,5.848728179931641,6.001667499542236
C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,6.697841644287109,6.610703468322754,6.6034016609191895,6.105367660522461,6.581971168518066,6.580594539642334,6.599910259246826,6.735821723937988,6.629748344421387,6.155510425567627,6.197977542877197,6.140944957733154,6.17494010925293,6.151897430419922,6.1384735107421875,6.172479629516602,6.152725696563721,6.13599967956543,6.129825115203857,5.881843566894531,5.727388381958008,5.8139119148254395,5.988221168518066
C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,5.1120686531066895,4.814298152923584,4.848182678222656,4.558837890625,4.795022010803223,4.786273956298828,4.787074089050293,4.91624641418457,4.865044116973877,4.548151969909668,4.564192771911621,4.545400619506836,4.539938926696777,4.559084415435791,4.552734375,4.565567493438721,4.559249401092529,4.547401428222656,4.545059680938721,4.486954689025879,4.409585475921631,4.451216220855713,4.585024356842041
C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,4.625596523284912,4.299446105957031,4.3267059326171875,4.004112720489502,4.285584449768066,4.272696495056152,4.279498100280762,4.400189399719238,4.337471008300781,4.049526691436768,4.063297748565674,4.046513557434082,4.044801235198975,4.052583694458008,4.048884868621826,4.064509868621826,4.05726432800293,4.0420308113098145,4.040938377380371,3.9311203956604004,3.8470494747161865,3.9005374908447266,4.0417375564575195
C(C(F)(Cl)Cl)(F)(F)Cl,3.1978085041046143,2.846885919570923,2.8823273181915283,2.595989465713501,2.838629961013794,2.82460618019104,2.826484441757202,2.940063714981079,2.8877952098846436,2.6424782276153564,2.654869556427002,2.6424310207366943,2.6359150409698486,2.6483094692230225,2.6472842693328857,2.6613078117370605,2.6527750492095947,2.640867233276367,2.6401255130767822,2.5397403240203857,2.4685752391815186,2.5172224044799805,2.6483728885650635
C(C(F)(F)F)(C(F)(F)F)F,4.905848979949951,4.552670478820801,4.580147743225098,4.225925445556641,4.541805267333984,4.527066707611084,4.538853168487549,4.665549278259277,4.5892333984375,4.295666694641113,4.309680938720703,4.292726993560791,4.29677152633667,4.294401168823242,4.292041778564453,4.308248519897461,4.2995123863220215,4.283884525299072,4.282774448394775,4.116153240203857,4.019905090332031,4.081862449645996,4.235065937042236
C(C(F)(F)F)(Cl)Cl,3.201298952102661,2.8564798831939697,2.8931586742401123,2.6121609210968018,2.8468575477600098,2.8344810009002686,2.835130214691162,2.9505491256713867,2.899996519088745,2.647240400314331,2.66024112701416,2.6469147205352783,2.6397273540496826,2.6541850566864014,2.6525566577911377,2.6667912006378174,2.6580374240875244,2.6470587253570557,2.645883321762085,2.553701162338257,2.478184938430786,2.526970148086548,2.6612284183502197
C(C(F)(F)F)F,3.3045530319213867,2.9849085807800293,3.022696018218994,2.7486116886138916,2.972740650177002,2.9629671573638916,2.96106219291687,3.0766820907592773,3.033470392227173,2.763259172439575,2.77903151512146,2.76324725151062,2.7540085315704346,2.7743308544158936,2.771928071975708,2.7863070964813232,2.7773396968841553,2.7680091857910156,2.7662010192871094,2.69311785697937,2.6203081607818604,2.665083646774292,2.7950809001922607
C(CCC(=O)NN)CC(=O)NN,4.5962324142456055,4.44161319732666,4.469146728515625,4.162327766418457,4.41523551940918,4.415901184082031,4.413980484008789,4.54378604888916,4.495833396911621,4.08766508102417,4.11506986618042,4.0817718505859375,4.083094120025635,4.106919765472412,4.0965895652771,4.117417335510254,4.10269832611084,4.099309921264648,4.0925397872924805,4.068938255310059,3.968082904815674,4.017583847045898,4.156323432922363
C(CCl)Cl,3.512399673461914,3.1998445987701416,3.2419748306274414,3.0240256786346436,3.1869451999664307,3.1784636974334717,3.1702229976654053,3.2820560932159424,3.2535340785980225,3.004262685775757,3.0181944370269775,3.0065252780914307,2.9892873764038086,3.0219714641571045,3.020220994949341,3.031358242034912,3.0229403972625732,3.0178604125976562,3.01519513130188,3.0045974254608154,2.9382529258728027,2.9761950969696045,3.0994389057159424
