SMILES,Clint,logP,Fup,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,0.35749499416769326,0.12426900584795321,0.23100616016427106,0.3706485732550706,0.6000000000000001,0.30000000000000004,0.11764705882352941,0.4534720040518325,0.4699071207430341
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.1677694671299341,0.3216374269005847,0.3388090349075976,0.4213110943220782,0.6000000000000001,0.5,0.3529411764705882,0.34131126158319214,0.6978328173374614
c1ccc2cc3c(ccc4ccccc43)cc2c1,0.6216108887737615,0.9736842105263157,0.0012422997946611898,0.28485500087173826,0.0,0.0,0.0,0.3751823139205983,0.0
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,0.46459692373485556,0.7149122807017543,0.030800821355236145,0.37630034288371006,0.0,0.6000000000000001,0.4117647058823529,0.334395915108599,0.4385758513931889
ClC(Cl)(Cl)Cl,0.39853439410316743,0.5687134502923976,0.6165297741273101,0.17412971465101412,0.0,0.0,0.0,0.09536322654713197,0.0
Clc1ccccc1CN1CCc2sccc2C1,0.8004351569622867,0.7690058479532164,0.010266940451745381,0.3356482826756553,0.0,0.2,0.11764705882352941,0.3467273028771296,0.020061919504643966
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0.49891752969612596,0.9239766081871343,0.003942505133470227,0.4942901144882897,0.0,0.2,0.23529411764705882,0.6082654628429264,0.058761609907120746
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,0.5987374749607655,0.6666666666666666,0.1704312114989733,0.33291683617132567,0.4,0.30000000000000004,0.23529411764705882,0.3717254353680265,0.28111455108359135
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.5168830738731387,0.7792397660818712,0.0003080082135523618,0.47226419480444,0.2,0.4,0.23529411764705882,0.46411971978357025,0.42433436532507746
CN1CSC(=S)N(C)C1,0.5610159622038429,0.24707602339181284,0.9049281314168379,0.1888766199802406,0.0,0.30000000000000004,0.0,0.1976444485179395,0.04012383900928793
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,0.5774968291098707,0.8991228070175438,0.04106776180698153,0.6453623525309466,0.2,0.30000000000000004,0.4117647058823529,0.6879585661980323,0.27108359133126936
Cc1cc(C)nc(Nc2ccccc2)n1,0.7608291587925256,0.5701754385964912,0.00690965092402464,0.24275004358691232,0.2,0.30000000000000004,0.11764705882352941,0.28125428798632723,0.23411764705882357
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0.42343031721029534,0.7821637426900584,0.1728952772073922,0.49850351601092574,0.2,0.30000000000000004,0.3529411764705882,0.49188070616744217,0.2510216718266254
O=[N+]([O-])c1ccccc1[N+](=O)[O-],0.666067326589257,0.402046783625731,0.061078028747433274,0.19757947347009938,0.0,0.4,0.11764705882352941,0.16745596519492822,0.5342414860681115
Cc1cc(C)c(O)c(C)c1,0.9711826592912343,0.554093567251462,0.10164271047227927,0.15118846980879874,0.2,0.1,0.0,0.18105566978412654,0.12526315789473685
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.7089540065997274,0.22953216374269003,0.7043121149897331,0.3252891265182774,0.2,0.4,0.1764705882352941,0.2107424421509255,0.3452631578947368
CC1=C(C(=O)Nc2ccccc2)SCCO1,0.6674373041080187,0.4678362573099415,0.16940451745379875,0.2949962224676004,0.2,0.30000000000000004,0.11764705882352941,0.30748418180055437,0.2373374613003096
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,0.8371021761244559,0.6739766081871345,0.021868583162217667,0.3751234962515256,0.2,0.2,0.0,0.3952126073023049,0.23095975232198143
O=C(Nc1ccccc1)Nc1cnns1,0.4191806046989246,0.4137426900584795,0.018860369609856265,0.273159179403731,0.4,0.4,0.11764705882352941,0.2693960025239187,0.4143034055727554
CCCC1=NC(=S)NC(=O)C1,0.23708949191955872,0.097953216374269,0.4759753593429159,0.20052885453594468,0.2,0.2,0.11764705882352941,0.20957372581575714,0.25671826625387
CNC(=NC#N)NCCSCc1nc[nH]c1C,0.4345563388754413,0.2134502923976608,0.7905544147843944,0.31976811762654733,0.6000000000000001,0.4,0.29411764705882354,0.3255786231928207,0.5504024767801858
CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C,0.4578460744655078,0.42543859649122806,0.6190965092402465,0.3198262335096182,0.0,0.6000000000000001,0.11764705882352941,0.3287038533202723,0.37232198142414863
CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O,0.6947944276200543,0.45175438596491224,0.6262833675564683,0.3168768524437729,0.4,0.30000000000000004,0.11764705882352941,0.30426147034686934,0.46606811145510835
CC(=O)Oc1ccccc1C(=O)O,0.5034384748450055,0.3289473684210526,0.535934291581109,0.21504329633288777,0.2,0.30000000000000004,0.11764705882352941,0.19373089114355663,0.3938080495356037
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0.9645393120054302,0.9195906432748537,0.4517453798767968,0.6382286278840008,0.4,0.30000000000000004,0.47058823529411764,0.7217845864010372,0.2705882352941177
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,0.6222140820717839,0.6081871345029239,0.5991786447638605,0.3675393735107805,0.0,0.30000000000000004,0.11764705882352941,0.3225794830416929,0.28860681114551084
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0.44493760237603497,0.39181286549707606,0.24640657084188913,0.4767827047131981,0.6000000000000001,0.5,0.11764705882352941,0.46041701875614893,0.5871826625386997
