,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
122,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-0.77,0.955,396.0,180.06,1,5,0,46.5757,72.68
123,CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1,4.3,0.01947,2.587,325.07,1,4,3,86.1128,50.94
124,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,1.72,0.23,5.452,374.21,3,5,2,99.5954,94.83
125,CCNc1nc(NC(C)C)nc(SC)n1,2.98,0.003952,31.51,227.12,2,6,5,64.5304,62.73
126,Cc1cccc([N+](=O)[O-])c1C,2.83,3.21e-08,523.0,151.06,0,2,1,42.5704,43.14
127,c1cc2c3c(cccc3c1)CC2,3.92,0.04533,4.846,154.08,0,0,0,51.356,0.0
128,COC(=O)c1ccccc1CS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,2.29,0.00905,1.65,410.09,2,9,7,97.6957,145.81
129,CC(=O)OC1CC(C)OC(C)O1,1.3,,863.0,174.09,0,4,1,41.265,44.76
130,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.64,0.0,819.0,292.84,0,2,1,58.1464,43.14
131,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,6.19,0.0,0.0,422.13,0,2,5,107.163,26.3
132,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,3.45,0.08,3.271,307.17,0,3,3,92.5,37.61
133,CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,3.94,0.0718,17.7,332.17,1,5,7,91.9362,73.59
134,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2OCCCl)n1,1.1,0.02305,14.58,401.06,2,8,7,93.1132,132.4
135,O=C(O)c1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1,2.61,0.00918,1.85,320.1,3,3,4,90.5599,77.76
136,CC1(C)CON(Cc2ccccc2Cl)C1=O,2.5,0.1734,3.038,239.07,0,2,2,61.735,29.54
