SMILES,Clint,logP,Fup,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,0.6354502260273249,0.6923076923076923,0.23921971252566737,0.7001942841888263,0.4,0.7000000000000001,0.4117647058823529,0.6986426450597701,0.8154179566563468
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0.5244807766856558,0.6277472527472527,0.02761806981519508,0.39475284381627535,0.2,0.2,0.058823529411764705,0.4244286024161168,0.23095975232198143
CCC(C)=O,0.7838837801277506,0.24587912087912087,0.8874743326488707,0.03858988239132692,0.0,0.1,0.058823529411764705,0.04836993534267088,0.10569659442724459
CC(Cl)CCl,0.8026901592677932,0.47939560439560436,0.5483572895277209,0.09779465199400834,0.0,0.0,0.058823529411764705,0.07575720694185928,0.0
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.45345761675552043,0.3434065934065934,0.5852156057494867,0.3812419357230783,0.0,0.5,0.11764705882352941,0.34211640915707464,0.3989473684210527
CCCCC1(CC)C(=O)NC(=O)NC1=O,0.28214118255661585,0.44368131868131866,0.6057494866529775,0.24631082504041407,0.4,0.30000000000000004,0.23529411764705882,0.22665171536927384,0.46606811145510835
CC(C)(C)c1ccc(N)cc1,0.5367255020905833,0.5769230769230769,0.14887063655030802,0.15287644415441887,0.2,0.1,0.0,0.20298063092960397,0.16111455108359135
COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12,0.618385223774369,0.7939560439560438,0.030800821355236145,0.48216589793406195,0.0,0.8,0.23529411764705882,0.4601039991474948,0.6432198142414861
COc1nc(C)nc(Cl)c1NC1=NCCN1,0.34542200050130933,0.32967032967032966,0.9445585215605751,0.2892461476856452,0.4,0.6000000000000001,0.11764705882352941,0.2717003422462323,0.4422910216718267
C=C(Cl)Cl,0.9264246367200186,0.4986263736263736,0.4291581108829569,0.07402079285746067,0.0,0.0,0.0,0.04768836389856704,0.0
COC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,0.30924343286449646,0.5082417582417582,0.07801848049281315,0.496878105210079,0.4,0.9,0.29411764705882354,0.41223009635581065,0.9255108359133127
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,0.7903687009334994,0.6565934065934065,0.046201232032854214,0.5177747786495025,0.2,0.5,0.29411764705882354,0.5230422536430265,0.46544891640866876
CCCCCCCCN(C)C,0.7247269254466524,0.5728021978021978,0.5674537987679672,0.16483011256618268,0.0,0.1,0.4117647058823529,0.21583095729954907,0.020061919504643966
CCC(=O)Nc1ccc(Cl)c(Cl)c1,0.5452323003095745,0.6277472527472527,0.06293634496919918,0.25356311269966036,0.2,0.1,0.11764705882352941,0.23450763765714686,0.1801857585139319
Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,0.2742761181768258,0.43681318681318676,0.08412731006160165,0.3083779494861109,0.4,0.4,0.1764705882352941,0.2149016400448107,0.5290402476780186
CNC(=O)C=C(C)OP(=O)(OC)OC,0.25032843559817836,0.17857142857142855,0.9117043121149899,0.2625357794355377,0.2,0.5,0.29411764705882354,0.2082752510049122,0.4573374613003096
O=C(Nc1ccccc1)Nc1ccnc(Cl)c1,0.6819423907061802,0.6456043956043955,0.018018480492813148,0.29811499844276035,0.4,0.2,0.11764705882352941,0.30454559469542686,0.33448916408668733
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,0.6036880870271487,0.7692307692307692,0.012700205338809037,0.48792026932831056,0.0,0.4,0.3529411764705882,0.4317809191369575,0.29325077399380806
ClC(Cl)Cl,0.7694227792831807,0.4766483516483516,0.5720739219712527,0.10658934848057901,0.0,0.0,0.0,0.05039842178345612,0.0
CC(C)O,0.21306630314291017,0.2129120879120879,0.935728952772074,0.020792857460661174,0.2,0.1,0.0,0.02880342559971527,0.12526315789473685
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,0.2704603223764248,0.2815934065934066,0.6355236139630391,0.34870304180817774,0.4,0.4,0.1764705882352941,0.32740582548850017,0.5168421052631579
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1,0.5806789169470307,0.7142857142857142,0.009055441478439426,0.41091847479496346,0.2,0.2,0.23529411764705882,0.3763421142454383,0.2373374613003096
CCO,0.6348963007426678,0.16346153846153846,0.9484599589322383,0.0,0.2,0.1,0.0,0.003947705078626851,0.12526315789473685
CN(CCCC(=O)c1cccnc1)N=O,0.40579200107953833,0.35439560439560436,0.9801848049281315,0.2388657362777522,0.0,0.4,0.3529411764705882,0.23907200261377246,0.38780185758513935
CCOC(C)(C)C,0.3467019919041344,0.40934065934065933,0.7726899383983573,0.08314176813442685,0.0,0.1,0.058823529411764705,0.10466449104734274,0.05715170278637771
CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.8184683920754423,0.6401098901098901,0.000410677618069814,0.3933142509677132,0.0,0.0,0.6470588235294118,0.4203099635467463,0.0
CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1.0,0.9368131868131868,0.007700205338809036,0.5669093983122488,0.0,0.4,0.3529411764705882,0.5859675258253371,0.3742414860681115
CC(CS)C(=O)N1CCCC1C(=O)O,0.8024656412431433,0.25274725274725274,0.7392197125256674,0.2536669286784226,0.4,0.30000000000000004,0.1764705882352941,0.23453522507274158,0.35671826625387
