SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
[O-2].[O-2].[O-2].[As+3].[As+3],-0.46,,,,197.83,0,0,0,13.5675,85.5
[OH-].[OH-].[Mg+2],-0.57,1,,,57.99,0,2,0,9.6256,60
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,1.93,0.17,7.658,,384.2,4,6,9,105.0095,124.44
B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,4.69,,,,242.13,0,0,3,83.982,0
B(F)(F)F.O.O,1.79,,,,104.03,0,0,0,16.3056,63
B(O)(O)O,-1.61,,,,62.02,3,3,0,12.4104,60.69
B(O)(O)O[Hg]C1=CC=CC=C1,2.42,,,,340.02,2,3,3,37.3526,49.69
B(OC(C)C)(OC(C)C)OC(C)C,2.74,,,,188.16,0,3,6,54.417,27.69
B(OCC)(OCC)OCC,2.07,,,,146.11,0,3,6,40.632,27.69
B1([C@H](CC[C@H](O1)CC(=O)O)NC(=O)CC2=CC=CS2)O,1.86,0.67,,0.252592699,297.08,3,5,5,74.2863,95.86
C#CC(=NOCC1OCCO1)C2=CC=CC=C2,2.7583,,,,231.09,0,4,4,63.456,40.05
C#CC[C@@H](C(O)=N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCN=C1O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.09,0.66,,,523.21,3,9,11,139.6618,168.61
C#CC1(CCCCC1)O,1.73,,,,124.09,1,1,0,36.8678,20.23
C#CC1=C(C(=O)C(=C(C1=O)Cl)Cl)C#C,1.46,,,,223.94,0,2,0,53.438,34.14
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,,,3.55,,391.15,1,7,2,109.8257,74.73
C#CC1=CC=C(C=C1)C2=CC=CC=C2F,4.08,,,,196.07,0,0,1,59.771,0
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(=O)O)c2)cc1,4.24,0.004,,,392.12,1,4,4,117.6043,72.19
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(S(N)(=O)=O)c2)cc1,3.18,0.018,,,427.1,1,5,4,122.0182,95.05
C#CCN(C)[C@H](C[18F])Cc1ccccc1,2.13,0.168,,,204.13,0,1,5,61.372,3.24
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,2.55,0.02807,8.336,,354.1,0,4,2,91.068,66.92
C#CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1N=C(O)c1[nH]c(C)c(Cl)c1Cl,2.81,0.03,,,456.04,3,6,6,112.9798,111.04
C#CCOc1ccc2cc(-c3nn(C(C)(C)C)c(N)c3C(=N)O)ccc2c1,3.15,0.01,,,362.17,3,5,4,108.3629,97.15
C(#N)/C(=C(\C#N)/N)/N,-0.54,,,,108.04,2,4,0,26.6268,99.62
C(#N)[N-]C#N.[Na+],-0.79,,,,89,0,2,0,14.585,61.68
C(#N)Br,1.59,,,,104.92,0,1,0,14.54,23.79
C(#N)C(=C(C#N)C#N)C#N,-0.21,,,,128.01,0,4,0,29.478,95.16
C(#N)C(Br)Br,2.02,,,,196.85,0,1,0,27.255,23.79
C(#N)C(C(=O)N)(Br)Br,0.82,,,,239.85,1,2,1,35.3924,66.88
C(#N)C(Cl)(Cl)Cl,2.09,,,,142.91,0,1,0,25.903,23.79
C(#N)C(Cl)Cl,1.3,,,,108.95,0,1,0,21.107,23.79
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,2.98,0.378,0,,263.88,0,2,0,55.912,47.58
C(#N)C1=C(C(=C(C(=N1)Cl)Cl)Cl)Cl,3.36,,,,239.88,0,2,0,48.992,36.68
C(#N)N,-0.82,,,,42.02,1,2,0,9.8004,49.81
C(#N)N=C(N)N,-1.15,,,,84.04,2,2,0,21.4228,88.19
C(/C(=C(/CO)\Br)/Br)O,1.01,,,,243.87,2,2,2,39.0516,40.46
C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,-0.22,,,,174.02,3,3,4,35.6074,111.9
C(/C=C/C(=O)O)N,-1.77,,,,101.05,2,2,2,25.8302,63.32
C(/C=C/CBr)Br,2.68,,,,211.88,0,0,2,36.728,0
C([C@@H](C(=O)O)N)O/C(=C/[N+]#N)/[O-],-2,,,,173.04,2,5,4,34.7302,123.76
C([C@@H](C(=O)O)N)OP(=O)(O)O,-2.35,,,,185.01,4,4,4,33.6073,130.08
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N,-5.08,,,,240.02,4,6,7,56.1384,126.64
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,-3.37,,,,342.12,8,11,5,68.6414,189.53
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O,-3.07,,,,358.11,9,11,8,71.3822,217.6
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O,-0.67,,,,396.01,5,8,5,79.544,128.84
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)O.Cl,-2.3,,,,215.06,5,6,1,45.2026,116.17
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O,-10.99,,,,1296.42,24,40,8,261.0672,633.2
