SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
Cc1ccc(N=C(O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,3.15,,7,,460.17,1,8,4,132.7268,86.85
Cc1ccc(N2CCN(Cc3cc(C(=O)N[C@H]4CCCC[C@@H]4O)c(=O)n4ccccc34)CC2)nc1,2.36,0.399,,,475.26,2,7,5,135.86,90.18
Cc1ccc(-n2nccn2)c(C(=O)N2C[C@H](C#Cc3ccc(F)cn3)CC[C@H]2C)c1,3.4,0.009,,,403.18,0,5,2,110.3915,63.91
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3ncc4c(C)csc4n3)CC[C@H]2C)c1,3.63,0.006,,,447.18,0,8,3,125.5765,80.04
Cc1ccc(NC(O)=NC2CCCCCC2)cc1Cl,4.49,0.003,,,280.13,2,1,2,81.3655,44.62
Cc1ccc(Nc2cc(=N[C@@H]3CCCC[C@@H]3N)[nH]nc2C(N)=O)nc1C,2.01,0.154,,,355.21,4,6,4,99.8937,135.07
Cc1ccc(NCc2ccc3c(n2)NCCC3)c(=O)n1CC(O)=N[C@@H](CC(=O)O)c1cccnc1,2.25,0.088,,,476.22,4,8,9,133.108,141.73
Cc1ccc(NS(C)(=O)=O)c(C(=O)N2CCCC[C@H]2c2cc3nc(C)c(C)c(=O)n3[nH]2)c1,2.69,0.16,,,457.18,2,6,4,122.5607,116.64
Cc1ccc(NS(C)(=O)=O)c(C(=O)N2CCCC[C@H]2c2cc3nc(C)c(C)c(C)n3n2)c1,3.7,0.014,,,455.2,1,6,4,124.472,96.67
Cc1ccc(NS(C)(=O)=O)c(C(=O)N2CCCC[C@H]2c2cc3nc(C)c(C)cn3n2)c1,3.39,0.045,,,441.18,1,6,4,119.735,96.67
Cc1ccc(NS(C)(=O)=O)c(C(=O)N2CCCC[C@H]2c2cc3nc(C)cc(C)n3n2)c1,3.39,0.016,,,441.18,1,6,4,119.735,96.67
Cc1ccc(NS(C)(=O)=O)c(C(=O)N2CCCC[C@H]2c2cc3nc(C4CC4)c(C)cn3n2)c1,3.96,0.017,,,467.2,1,6,5,126.973,96.67
Cc1ccc(NS(C)(=O)=O)c(C(=O)N2CCCC[C@H]2c2cc3nc(C4CC4)cc(C)n3n2)c1,3.96,0.014,,,467.2,1,6,5,126.973,96.67
Cc1ccc(NS(C)(=O)=O)c(C(=O)N2CCCC[C@H]2c2cc3nc(C4CC4)ccn3n2)c1,3.65,0.03,,,453.18,1,6,5,122.236,96.67
Cc1ccc(O)c(C(O)=NC2CCC(NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN5C[C@H](C)N[C@H](C)C5)cc4CN4CCOCC4)c3)CC2)c1,6.18,0.013,,,764.41,4,9,11,215.0995,131.78
CC1CCC(Oc2ccc3ccc([C@H](C)N4C5CCC4CC(C(=O)O)C5)cc3c2C(F)(F)F)CC1,7.2,0.0018,,,489.25,1,3,5,128.4218,49.77
CC1CCC(Oc2nc(N)c3ncn([C@@H]4O[C@H](C)[C@@H](O)[C@H]4O)c3n2)CC1,1.01,0.27,,,363.19,3,9,3,93.381,128.54
Cc1ccc(OCC[N+]23CCC(CC2)[C@@H](OC(=O)[C@](C)(c2ccccc2)N2CCCCC2)C3)cc1,4.93,0.015,,,477.31,0,4,8,138.2244,38.77
Cc1ccc(S(=O)(=O)[C@@]2(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)CCN(C(=O)C3CCC(C(=O)O)CC3)C2)cc1,6.08,0.013,,,623.16,1,4,6,135.6616,91.75
Cc1ccc(S(=O)(=O)Nc2c(C(O)=N[C@@H](C)C(C)(C)C)c(C)nn2-c2ccccc2)cc1,4.45,0.027,,,454.2,2,5,6,128.3713,96.58
CC1CCC2(O1)C(=CCCC2(C)C)C,4.14,,,,194.17,0,1,0,59.284,9.23
CC1CCC2=C(C1)OC=C2C,4.3,,,,150.1,0,1,0,44.634,13.14
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,1.6,,,,261.08,1,3,1,68.1573,59.3
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2C)F)C(=O)O,2.73,,,,275.1,1,3,1,72.8943,59.3
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O,1.38,,,,360.15,2,5,2,95.6111,82.77
CC1CCC2=NC=CN=C12,1.34,,,,134.08,0,2,0,38.768,25.78
CC1CCC23CCC(=O)C2C1(C(CC(C(C3C)O)(C)C=C)OC(=O)CO)C,2.59,,,,378.24,2,5,3,101.7266,83.83
Cc1ccc2c(c1)C(=O)N(c1ccc(N=C(O)c3occc3C)c(F)c1)C2=O,4.09,0.002,,,378.1,1,4,3,100.9898,83.11
Cc1ccc2c(c1)C(=O)N1CCCC[C@H]1c1cc3nc(C4CC(O)C4)cc(n3n1)N(C)CCN=C(O)CO2,2.59,0.112,,,518.26,2,8,1,143.4721,115.79
Cc1ccc2c(c1)C(=O)N1CCCCC1c1cc3nc(N4CCC4)cc(n3n1)N(C)CCN=C(O)CO2,2.56,0.064,,,503.26,1,8,1,142.3203,98.8
Cc1ccc2c(c1)CCCN2C(=O)SCC(O)=Nc1ccc(S(N)(=O)=O)cc1Cl,3.54,0.01,,,453.06,2,5,4,117.249,113.06
Cc1ccc2c(-c3cnc4[nH]cc(C(O)=NC(C)(C)CO)c4n3)nn(CCCN(C)C)c2c1,2.74,0.12,,,449.25,3,7,8,130.8543,115.45
Cc1ccc2c(-c3cnc4[nH]cc(C(O)=NC5(C)CCNC5)c4n3)nn(C)c2c1,2.3,0.04,,,389.2,3,6,3,113.3912,104.01
Cc1ccc2nc(C[N+]34CCC(CC3)[C@@H](OC(=O)[C@](C)(c3ccccc3)N3CCCCC3)C4)oc2c1,5.19,0.07,,,488.29,0,5,6,139.1334,55.57
Cc1cccc([C@@H]2CN(C3CCOCC3)C(=O)N2C2CCN(Cc3ccc(Oc4ccc(C(=O)O)cc4)nc3C)CC2)c1,5.81,0.043,,,584.3,1,6,8,162.4503,95.44
Cc1cccc(C)c1-c1ccc2nc(O)[nH]c2c1,3.14,2.1,,,238.11,2,2,1,72.6685,48.91
Cc1cccc(C)c1NC(O)=NCCCNC(C)C,2.68,0.86,,2.321543928,263.2,3,2,6,82.2252,56.65
Cc1cccc(C2(C#N)CCN(Cc3cc4c(c5ccccc35)CN([C@H]3CCCC[C@@H]3O)C4=O)CC2)n1,4.86,0.01,,,494.27,1,5,4,142.8603,80.46
Cc1cccc(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(O)=NCCCN4CCCC4)c3)CC2)c1,5.11,0.023,,,535.33,1,5,10,164.4528,66.1
Cc1cccc(CCN2CCN(c3ccccc3-c3cccc(C(O)=NCCCN4CCCC4)c3)CC2)c1,5.24,0.053,,,510.34,1,4,10,159.7378,42.31
Cc1cccc(Cl)c1-c1ccc2nc(O)[nH]c2c1,3.49,0.9,,,258.06,2,2,1,72.9415,48.91
Cc1cccc(Cl)c1CN=C(O)Nc1ccsc1-c1nc(O)c(O)c(C(=O)O)n1,3.6,0.002,,,434.05,5,7,5,109.2134,148.16
Cc1cccc(Cl)c1N=c1[nH]c2cc(C(O)=Nc3cc(C(F)(F)F)ccc3F)c3c(c2[nH]1)CC(C)(C)O3,7.39,0.0003,,,532.13,3,3,3,132.7002,85.76
Cc1cccc(Cl)c1N=c1[nH]c2cc(C(O)=Nc3cc(C(F)F)ccc3F)c3c(c2[nH]1)CC(C)(C)O3,7.31,0.0008,,,514.14,3,3,4,132.6552,85.76
Cc1cccc(CN2C(=O)c3cc(-c4nc(Nc5ccnn5C)ncc4C)cn3C[C@H]2C)n1,3.48,0.127,,,442.22,1,8,5,124.9952,93.76
Cc1cccc(N=C(O)c2cc(F)cc(C#N)c2)c1,3.26,0.017,,,254.09,1,2,2,71.1198,56.38
Cc1cccc(N=C(O)c2cc(F)cc(C#N)c2)n1,2.65,0.101,,,255.08,1,3,2,68.9148,69.27
Cc1cccc(N=C(O)c2cc(Oc3cncc(F)c3)cn3ccnc23)n1,3.62,0.024,,,363.11,1,6,4,97.2608,84.9
CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,0.25,,,,345.09,2,4,3,84.9054,92.5
Cc1cccc(Nc2cc(=N[C@@H]3CCCC[C@@H]3N)[nH]nc2C(N)=O)n1,1.7,0.096,,,341.2,4,6,4,95.1567,135.07
Cc1cccc(OCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)c1,0.69,0.2,,,353.22,4,6,9,95.6092,93.39
Cc1cccc(S(=O)(=O)Nc2ccc(C)n(CC(O)=NCCONC(=N)N)c2=O)c1,-0.2,0.543,,,436.15,5,7,9,113.3591,171.89
Cc1cccc2nc(C(O)=NC3CCC(NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(CN6C[C@H](C)N[C@H](C)C6)cc5)c4)CC3)cn12,6.29,0.012,,,689.35,3,8,9,196.0887,116.38
Cc1ccccc1[C@@H]1C[C@H](N2CCOCC2)CC[C@H]1C(=O)N1CC(c2ccccc2)(c2ccccc2)C1.O=C(O)C(F)(F)F,5.41,0.02,,,608.29,1,4,5,161.3758,70.08
Cc1ccccc1C(=O)N=c1ccc(C#N)c[nH]1,2.51,0.025,,,237.09,1,2,1,66.5802,69.01
Cc1ccccc1C(O)=Nc1cc(C#Cc2ccccc2)ccn1,4.04,0.017,,,312.13,1,2,2,96.6638,45.48
Cc1ccccc1C(O)=Nc1cc(C#N)ccn1,2.51,0.359,,,237.09,1,3,2,68.9568,69.27
Cc1ccccc1C(O)=Nc1cc(Cl)ccn1,3.3,0.134,,,246.06,1,2,2,69.2518,45.48
Cc1ccccc1C(O)=Nc1ccc(F)cn1,2.78,0.44,,,230.09,1,2,2,64.1998,45.48
Cc1ccccc1C(O)=Nc1cccc(F)n1,2.78,0.33,,,230.09,1,2,2,64.1998,45.48
Cc1ccccc1C(O)=Nc1cccc(N=C(O)CC(C)C)c1,4.23,0.04,,,310.17,2,2,5,95.6256,65.18
Cc1ccccc1C(O)=Nc1ncccn1,2.04,0.024,,,213.09,1,3,2,62.0368,58.37
Cc1ccccc1-c1cc(C(O)=NCCCN2CCCC2)c2c[nH]nc2n1,3.15,0.43,,,363.21,2,4,6,108.3855,77.4
Cc1ccccc1COc1nc2c(cc1-c1nc(=N)cc(N)[nH]1)c(C)nn2-c1ccccc1,4.24,0.002,,,437.2,3,7,5,126.9618,118.49
Cc1ccccc1N=C(O)Nc1ccc(CC(=O)N2C[C@@H](F)C[C@H]2COc2ccc(C(=O)O)cc2)cc1Cl,5.55,0.02,,,539.16,3,4,8,143.5918,111.46
Cc1ccccc1N=C(O)Nc1ccc(CC(=O)N2CCOC[C@H]2C(=O)N2CCC(CC(=O)O)CC2)cc1,,0.2,,,522.25,3,5,7,142.5483,131.77
Cc1ccccc1N=c1[nH]c2ccc(CC(=O)N3C[C@@H](F)C[C@H]3CO[C@H]3CC[C@H](C(=O)O)CC3)cc2o1,5.02,0.03,,,509.23,2,5,7,135.0185,108.13
Cc1ccccc1N=C1N=C(O)C(C(C)C)S1,3.06,0.004,,,248.1,1,2,2,74.5548,44.95
Cc1ccccc1N1CC(C)(C)N([C@H]2CNC[C@@H](C(O)=N[C@H](CC(C)C)c3ccc(F)cn3)C2)CC1=O.O=C(O)/C=C/C(=O)O,3.84,0.62,,,625.33,4,7,9,169.9481,155.66
CC1CCCCC1NC(=O)NC2=CC=CC=C2,3.8,,,,232.16,2,1,2,70.0164,41.13
CC1CCCCN1CCCOC(=O)C2=CC=C(C=C2)OC3CCCCC3,4.44,,,,359.25,0,4,7,103.7285,38.77
CC1CCCCN1CCCOC(=O)C2=CC=CC=C2.Cl,3.03,,,,297.15,0,3,5,83.4755,29.54
CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,3.11,,,,263.17,0,2,5,74.8025,20.31
Cc1ccnc(C2(C#N)CCN(Cc3cc4c(c5ccccc35)CN([C@H]3CCCC[C@@H]3O)C4=O)CC2)c1,4.86,0.006,,,494.27,1,5,4,142.8603,80.46
Cc1ccnc(N=C(O)C[N+]23CCC(CC2)[C@@H](OC(=O)C2(C4=CC=CC4)CCCCCC2)C3)c1,4.71,0.018,,,464.29,1,4,6,133.0052,71.78
Cc1ccnc(N=C(O)c2cccc(F)c2C)c1,3.09,0.276,,,244.1,1,2,2,68.9368,45.48
Cc1ccnc(N=C(O)c2ccccc2C)c1,2.95,0.299,,,226.11,1,2,2,68.9788,45.48
Cc1ccnc(-n2nnc3c2CCN(C(=O)c2cccc(C(F)(F)F)c2Cl)[C@@H]3C)n1,3.8,0.085,,,436.1,0,6,2,101.2955,76.8
Cc1ccncc1CN(c1ccc(OCC(=N)O)cc1)C1CCN([C@H](C)CCN=C(O)c2c(C)cc(C#N)nc2C)CC1,3.82,0.11,,,583.33,3,8,12,168.5823,141.95
Cc1ccncc1CN(c1ccccc1)C1CCN([C@H](C)CCN=C(O)c2c(C)cc(C#N)nc2C)CC1,4.95,0.06,,,510.31,1,6,9,152.7318,88.64
CC1CCOC(C1)C=C(C)C,3.97,,,,154.14,0,1,1,47.569,9.23
Cc1ccoc1C(O)=Nc1ccc(N2C(=O)c3ccc(F)cc3C2=O)cc1F,3.92,0.03,,,382.08,1,4,3,96.2108,83.11
Cc1ccoc1C(O)=Nc1ccc(N2C(=O)c3cccc(C)c3C2=O)cc1F,4.09,0.009,,,378.1,1,4,3,100.9898,83.11
Cc1ccoc1C(O)=Nc1ccc(N2C(=O)c3cccc(F)c3C2=O)c(Cl)c1,4.43,0.051,,,398.05,1,4,3,101.2628,83.11
Cc1ccoc1C(O)=Nc1ccc(N2C(=O)c3cccc(F)c3C2=O)cc1F,3.92,0.027,,,382.08,1,4,3,96.2108,83.11
Cc1ccoc1C(O)=NCCc1csc(-c2ccccc2)n1,3.68,0.05,,,312.09,1,4,5,88.7318,58.62
Cc1cn([C@H]2CCCN([C@H](CC(C)(C)C)c3ccc(C(=O)O)c(Oc4cccc(Br)c4)c3)C2)c(=O)nc1O,5.91,0.032,,,583.17,2,7,7,149.1731,104.89
Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)nc1O,3.02,0.01,,,491.09,2,8,5,121.5614,121.96
CC1CN(C(=O)c2nsc3cc(N=c4[nH][nH]c5cccnc45)ccc23)CC(C)O1,3.56,0.013,,,408.14,2,6,2,111.1999,99.26
Cc1cn(-c2ccc(-c3cn([C@H]4CCc5c(F)cccc5N(CC(F)(F)F)C4=O)nn3)c(F)c2)cn1,4.8,0.013,,,502.15,0,6,4,119.441,68.84
Cc1cn(-c2ccc3c(c2)C(O)=Nc2cccc(n2)-c2nncn2CCCCO3)cn1,3.26,0.021,,,415.18,1,8,1,115.1088,103.24
Cc1cn(CC(=O)c2ccc(-c3ccc(N4C[C@H](Cn5ccnn5)OC4=O)cc3F)cn2)c(C)n1,3.2,0.12,,,475.18,0,9,7,123.2995,108.03
Cc1cn(CC(=O)c2ccc(-c3ccc(N4C[C@H](Cn5ccnn5)OC4=O)cc3F)cn2)cn1,2.89,0.31,,,461.16,0,9,7,118.5625,108.03
CC1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=C(C=C(C=C4)F)F)F,-0.2,,,,417.13,2,5,3,106.056,74.57
CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,0.9,0.8,,1.405377095,375.16,2,6,4,99.626,83.8
CC1CN(NC1=O)C2=CC=CC=C2,1.45,,,,176.09,1,2,1,51.0947,32.34
CC1CN1P(=O)(N2CC2C)N3CC3C,0.84,,,,215.12,0,1,3,56.1105,26.1
Cc1cn2c(-c3cn[nH]c3)cnc2c(=Nc2cc(C(NC(C)(C)C)c3ccccn3)ns2)[nH]1,4.5,0.012,11.8,,459.2,3,8,5,128.1671,111.94
Cc1cn2c(-c3cn[nH]c3)cnc2c(=Nc2cc(Cc3ccccn3)ns2)[nH]1,3.61,0.009,,,388.12,2,7,4,106.2414,99.91
Cc1cn2c(-c3cn[nH]c3)cnc2c(=Nc2ccc(C(=O)N3CCNCC3)cc2F)[nH]1,2.36,,2,,420.18,3,6,3,112.2576,106.47
CC1CN2c3c(cc4c(C(C)(C)C)noc4c3F)CC3(C(O)=NC(=O)N=C3O)C2C(C)O1,2.16,0.042,,,444.18,2,5,0,115.4706,120.75
CC1CN2c3c(cc4c(C5CC5)noc4c3F)CC3(C(O)=NC(=O)N=C3O)C2C(C)O1,1.73,0.052,,,428.15,2,5,1,108.7456,120.75
Cc1cn2cc(N=C(O)c3ccc(N4CCNC(C)C4)cc3F)nc2c(C)n1,2.54,0.186,,,382.19,2,6,3,107.3645,78.05
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CC(C#N)C1,3.39,0.02,,,527.15,1,8,5,136.587,123.7
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CC(F)C1,3.59,0.033,,,520.15,1,7,5,132.38,99.91
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CC(N)C1,2.58,0.056,,,517.17,2,8,5,135.4594,125.93
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CC(O)C1,2.61,0.055,,,518.15,2,8,5,133.4908,120.14
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CC[C@@H](N)C1,2.97,0.043,,,531.18,2,8,5,140.0764,125.93
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CCC(F)(F)C1,4.28,0.0064,,,552.15,1,7,5,137.048,99.91
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CCC1,3.64,0.018,,,502.16,1,7,5,132.101,99.91
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3cc(Cl)ccc3NS(C)(=O)=O)cc2nc1N1CCCC1,4.03,0.0094,,,516.17,1,7,5,136.718,99.91
Cc1cn2nc([C@@H]3CCCCN3C(=O)c3ccccc3NS(C)(=O)=O)cc2nc1C,3.09,0.058,,,427.17,1,6,4,114.998,96.67
Cc1cnc(C)n1CC(=O)c1ccc(-c2ccc(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,3.2,0.1,,,475.18,0,9,7,123.2995,108.03
Cc1cnc(-c2ccc(OC(F)(F)F)cc2)n1Cc1ccccc1OCCC[C@@H](C)CC(=O)O,6.08,0.001,,,476.19,1,5,11,120.7728,73.58
Cc1cnc(N=C(O)C[N+]23CCC(CC2)[C@@H](OC(=O)C2(C4=CC=CC4)CCCCCC2)C3)cn1,4.1,0.04,,,465.29,1,5,6,130.8002,84.67
Cc1cnc(N=C(O)NC23CC4CC(CC(C4)C2)C3)s1,3.54,0.002,,,291.14,2,3,2,80.6135,57.51
Cc1cnc(NCCc2ccccn2)c(=O)n1CC(O)=NCc1cc(Cl)ccc1OCC(O)=NC1CC1,2.23,0.01,,,524.19,3,8,12,143.4653,134.22
Cc1cnc(NCCc2ccccn2)c(=O)n1CC(O)=NCc1cccc(Cl)c1,2.57,0.06,,,411.15,2,6,8,114.8845,92.4
Cc1cnc2c(C(O)=NCCO)cn(Cc3ncnc(N(C)C)c3C)c2c1,1.28,0.3,,,368.2,2,7,6,105.7866,99.66
Cc1cnc2c(C(O)=NCCO)cn(Cc3ncnc(OC(F)F)c3C)c2c1,1.81,0.3,,,391.15,2,7,7,98.0916,105.65
Cc1cncc(=Nc2ccnc3cc(-c4cnc(N5CCCN(C)CC5)nc4)ccc23)[nH]1,3.68,0.23,,,426.23,1,7,3,125.6437,86.19
CC1CNCC(O1)C,1.04,,,,115.1,1,2,0,32.8787,21.26
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,4.3,0.0115,30.6,,405.06,0,6,5,101.177,58.4
CC1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl,3.36,,,,362.06,1,3,1,94.4337,41.57
CC1COC2=CC=CC=C2N1,2.08,,,,149.08,1,2,0,45.0217,21.26
CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl,2.7,,,,259.02,0,2,1,64.379,29.54
CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,5.89831,,,,258.2,0,1,0,79.729,9.23
Cc1csc(N=C(O)c2cc(C(F)(F)c3cncnc3)cc3cccnc23)n1,4.18,0.014,,,397.08,1,6,4,102.4478,84.15
Cc1csc(N=C(O)c2cc(F)cc(C#N)c2)n1,2.71,0.016,,,261.04,1,4,2,66.7918,69.27
Cc1csc(N=C(O)NC23CC4CC(CC(C4)C2)C3)n1,3.54,0.003,,,291.14,2,3,2,80.6135,57.51
Cc1csc(NC(O)=NC2C3CC4CC(C3)CC2C4)n1,3.4,0.007,,,291.14,2,3,2,81.3705,57.51
Cc1csc2nc([C@H](C)Nc3ncnc4[nH]cnc34)c(-c3cccc(F)c3)c(=O)n12,3.71,0.17,,,421.11,2,8,4,113.1914,100.86
Cc1csc2nc(N3CC[C@@H](C)N(C(=O)c4ccccc4-n4nccn4)CC3)nc(N)c12,2.9,0.015,,,448.18,1,9,3,125.2519,106.06
Cc1n[nH]c(C)c1[C@H](C)N=C(O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,4.25,0.04,,,472.18,2,6,6,120.9825,101.21
Cc1n[nH]c(C)c1N=C(O)OCC(Oc1cccc2sc(C(=N)N)cc12)c1ccccc1,4.89,0.05,,,449.15,4,6,7,126.3896,129.6
Cc1n[nH]cc1-c1cc(C(F)(F)F)ccc1Oc1ccc(S(=O)(=O)N=c2nc[nH]s2)cc1C#N,4.72,0.0015,,,506.04,2,7,5,114.2072,136.88
CC1N2C3=CC(=C(C=C3C(=O)C(=C2S1)C(=O)O)F)N4CCN(CC4)CC5=C(OC(=O)O5)C,1.15,,,,461.11,1,9,4,115.1643,109.13
CC1N2C3=CC(=C(C=C3C(=O)C(=C2S1)C(=O)O)F)N4CCNCC4,1.07,,,,349.09,2,6,2,90.776,74.57
Cc1nc([C@]2(c3cnn(C)c3)N[C@@H](c3ncc(-c4ccc(F)cc4)[nH]3)Cc3c2[nH]c2ccccc32)no1,4.3,0.008,,,494.2,3,7,4,133.9861,113.24
Cc1nc(C(=O)N=c2ccnc(Cl)[nH]2)c(C)n1-c1ccc(F)cc1,3.32,,0.99,,345.08,1,4,2,86.4872,75.93
Cc1nc(C)c(C(=O)N2CCCCC2(C)c2nc(O)c(O)c(C(O)=NCc3ccc(F)cc3)n2)s1,3.16,0.13,,,499.17,3,8,5,128.4589,132.03
Cc1nc(C)c(C(=O)N2CCCCC2c2nc(O)c(O)c(C(O)=NCc3ccc(F)cc3)n2)s1,2.99,0.1,,,485.15,3,8,5,123.8479,132.03
Cc1nc(C)c(-c2ccc(C34CCC(C(=O)O)(CC3)CC4)cc2)nc1C(=N)O,3.54,0.006,,,379.19,3,4,4,105.8483,107.16
Cc1nc(C)c(-c2ccc(-c3ccc([C@H](C)C(=O)O)cc3Cl)cc2)nc1C(=N)O,4.37,0.008,,,409.12,3,4,5,112.8963,107.16
Cc1nc(C)c(-c2ccc(C3CCC(CC(=N)O)CC3)cc2)nc1C(=N)O,3.01,0.13,,,366.21,4,4,5,106.071,113.94
Cc1nc(C)c(-c2ccc(C3CCC(CC(=O)O)CC3)cc2)nc1C(=N)O,3.61,0.047,,,367.19,3,4,5,103.3513,107.16
Cc1nc(C)c(-c2ccc(-c3ccc(CC(=O)O)cc3Cl)c(Cl)c2)nc1C(=N)O,4.46,0.003,,,429.06,3,4,5,113.1953,107.16
Cc1nc(C)c(-c2ccc(C3CCC(CC(O)=NC(C)(C)C(=O)O)CC3)cc2)nc1C(=N)O,3.5,0.078,,,452.24,4,5,7,127.4941,139.75
Cc1nc(C)c(-c2ccc(C3CCC(CC(O)=NS(C)(=O)=O)CC3)cc2)nc1C(=N)O,2.6,0.11,,,444.18,3,5,6,120.6231,136.59
Cc1nc(C)c(-c2ccc(C3CCC(Cc4nn[nH]n4)CC3)cc2)nc1C(=N)O,2.89,0.009,,,391.21,3,6,5,108.9802,124.32
Cc1nc(C)c(-c2ccc(C3CCC(CCO)CC3)cc2)nc1C(=N)O,3.52,0.03,,,353.21,3,4,5,102.8013,90.09
Cc1nc(C)c(-c2ccc3c(c2)CCC32CCC(CC(=O)O)CC2)nc1C(=N)O,3.71,0.013,,,393.21,3,4,4,110.6093,107.16
Cc1nc(C[C@@]2(C)C[C@H](c3cccc(Cl)c3)[C@@H](c3ccc(Cl)cc3)N([C@H](CS(=O)(=O)C(C)(C)C)C3CC3)C2=O)ccc1C(=O)O,7.69,,26,,670.2,1,5,9,177.6451,104.64
Cc1nc(-c2cc(Cl)cnc2Nc2cnc(Cl)c(NS(=O)(=O)N(C)C)c2)nc(=N)[nH]1,2.49,0.002,,,469.06,4,8,6,113.9746,152.64
Cc1nc(-c2ccc3c(c2)CC[C@H]3N=C(O)c2cnn(C)c2)no1,2.2,0.14,,,323.14,1,6,3,87.9068,89.33
Cc1nc(C2CCN(C(=O)[C@@H]3C[C@@](C)(N(C)C)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2cc(Cl)ccc2Cl)n1,6.38,0.33,,,575.2,0,5,5,148.586,54.26
Cc1nc(C2CCN(C(=O)[C@@H]3C[C@@](C)(N(C)C)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(Cl)c(C)c2)n1,6.04,0.05,,,555.26,0,5,5,148.313,54.26
Cc1nc(C2CCN(C(=O)[C@@H]3C[C@@](C)(N(C)C)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(F)c(Cl)c2)n1,5.87,0.32,,,559.23,0,5,5,143.534,54.26
Cc1nc(C2CCN(C(=O)[C@@H]3C[C@@](C)(N)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2cc(Cl)ccc2Cl)n1,5.78,0.245,,,547.17,1,5,4,139.0864,77.04
Cc1nc(C2CCN(C(=O)[C@@H]3C[C@@](C)(N)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(Cl)c(C)c2)n1,5.43,0.076,,,527.23,1,5,4,138.8134,77.04
Cc1nc(C2CCN(C(=O)[C@@H]3C[C@@](C)(N)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(F)c(Cl)c2)n1,5.26,0.205,,,531.2,1,5,4,134.0344,77.04
Cc1nc(C2CCN(C(=O)[C@@H]3C[C@@H](N(C)C)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(Cl)c(C)c2)n1,5.65,0.22,,,541.24,0,5,5,143.696,54.26
Cc1nc(C2CCN(C(=O)[C@@H]3CN(C(C)(C)C)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(Cl)cc2)n1,5.73,0.25,,,541.24,0,5,4,143.576,54.26
Cc1nc(C2CCN(C(=O)[C@@H]3CN(C(C)(C)C)C[C@H]3c3ccc(F)cc3F)CC2)n(-c2ccc(F)c(F)c2)n1,5.35,0.7,,,543.26,0,5,4,138.482,54.26
