SMILES_rdkit_final,logP,Fup,Clint.invitro.[ml/min/10^6cell],Clint.invitro.[ml/min/kg],Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
[Mg+2].[Cl-].[Cl-],-0.57,0.7,,,,93.92,0,0,0,5.754,0,-6.3728
[N-]=[N+]=N[C@H]1[C@@H](CF)O[C@@H](n2cnc3c(N)nc(OC4CCCC4)nc32)[C@@H]1O,1.64,0.19,,,,378.16,2,9,5,91.4452,157.07,1.6366
[N+](=O)([O-])[O-].[K+],2.78,,,,,100.95,0,3,0,10.3614,66.2,-3.2351
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ba+2],2.78,,,,,261.88,0,6,0,26.4768,132.4,-0.859
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ca+2],2.78,,,,,163.94,0,6,0,26.4768,132.4,-0.859
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cr+3],-2.6,0.05,,,,237.9,0,9,0,31.0842,198.6,-0.7198
[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].O.O.O.O.O.O.[Mg+2],2.78,,,,,256.02,0,6,0,48.1596,321.4,-5.8072
[N+](=O)([O-])[O-].[Na+],2.78,,,,,84.98,0,3,0,10.3614,66.2,-3.2351
[N+](=O)([O-])[O-].[Tl+],2.78,,,,,266.96,0,3,0,16.1154,66.2,-0.6199
[N+](=O)(O)[O-].[N+](=O)(O)[O-].[Cd],0.06,,,,,239.89,2,4,0,17.5618,126.74,-0.6979
[Na+].[Br-],-3.84,,,,,101.91,0,0,0,0,0,-5.992
[Na+].[I-],1.28,,,,,149.89,0,0,0,0,0,-5.992
[NH2-].[NH2-].Cl[Pt+2]Cl,1.48,,,,,296.94,0,0,0,22.2748,67,2.8107
[NH4+].[N+](=O)([O-])[O-],2.78,,,,,80.02,1,3,0,16.3462,102.7,0.1371
[NH4+].[NH4+].[O-]S(=O)(=O)OOS(=O)(=O)[O-],-2.36,,,,,227.97,2,8,3,33.534,205.86,-1.3926
[NH4+].[NH4+].[O-]S(=O)(=S)[O-],-0.91,,,,,148,2,4,0,29.0318,136.19,-0.2541
[NH4+].[O-]Cl(=O)(=O)=O,-0.49,,,,,116.98,1,4,0,5.9848,128.74,-4.3798
[NH4+].NS(=O)(=O)[O-],-1.59,,,,,114.01,2,3,0,19.8694,119.72,-1.2185
[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],-0.84,,,,,293.77,0,7,2,3.831,123.63,-8.9186
[O-][Se](=O)[O-].[Na+].[Na+],-0.52,,,,,173.88,0,3,0,6.4405,63.19,-8.8696
[O-][Si](=O)O[Si]([O-])([O-])O[Si](=O)[O-].[Mg+2].[Mg+2],-2.7,0.67,,,,259.86,0,8,4,32.313,144.84,-7.0344
[O-]Br(=O)=O.[Na+],2.6,,,,,149.89,0,3,0,0,69.18,-6.563
[O-]Cl(=O)(=O)=O.[K+],-0.49,,,,,137.91,0,4,0,0,92.24,-7.752
[O-]Cl(=O)=O.[K+],2.38,,,,,121.92,0,3,0,0,69.18,-6.563
[O-]Cl(=O)=O.[Na+],2.38,,,,,105.94,0,3,0,0,69.18,-6.563
[O-]Cl.[Na+],0.03,,,,,73.95,0,1,0,5.853,23.06,-3.4955
[O-]Cl=O.[Na+],-0.259,,75.4,191.84022,,89.95,0,2,0,0,46.12,-5.374
[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],-2.85,,,,,265.87,0,7,2,16.298,135.61,-15.3236
[O-]S(=O)(=O)[O-].[Cr+2],-0.84,0.05,,,,147.89,0,4,0,10.4746,80.26,-1.3405
[O-]S(=O)(=O)[O-].[Fe+2],-2.02,,,,,151.89,0,4,0,10.4746,80.26,-1.3405
[O-]S(=O)(=O)[O-].[Na+].[Na+],-2.02,,,,,141.93,0,4,0,10.4746,80.26,-7.33
[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],-0.84,0.2,,,,257.85,0,8,0,26.7032,160.52,-6.0528
[O-]S(=O)(=O)OOS(=O)(=O)[O-].[K+].[K+],-2.36,,,,,269.83,0,8,3,21.5644,132.86,-8.137
[O-]S(=O)(=O)OOS(=O)(=O)[O-].[Na+].[Na+],-2.36,,,,,237.88,0,8,3,21.5644,132.86,-8.137
[O-]S(=O)(=O)SSS(=O)(=O)[O-].[K+].[K+],-0.49,,,,,301.79,0,8,3,34.5764,114.4,-6.7038
[O-2].[O-2].[O-2].[As+3].[As+3],-0.46,,,,,197.83,0,0,0,13.5675,85.5,-1.118
[OH-].[OH-].[Mg+2],-0.57,1,,,,57.99,0,2,0,9.6256,60,-0.7344
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,1.93,0.17,7.658,19.4842494,,384.2,4,6,9,105.0095,124.44,0.3606
B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,4.69,,,,,242.13,0,0,3,83.982,0,2.2028
B(F)(F)F.O.O,1.79,,,,,104.03,0,0,0,16.3056,63,-0.7696
B(O)(O)O,-1.61,,,,,62.02,3,3,0,12.4104,60.69,-2.0518
B(O)(O)O[Hg]C1=CC=CC=C1,2.42,,,,,340.02,2,3,3,37.3526,49.69,-0.7045
B(OC(C)C)(OC(C)C)OC(C)C,2.74,,,,,188.16,0,3,6,54.417,27.69,2.2463
B(OCC)(OCC)OCC,2.07,,,,,146.11,0,3,6,40.632,27.69,1.0808
B1([C@H](CC[C@H](O1)CC(=O)O)NC(=O)CC2=CC=CS2)O,1.86,0.67,,,0.252592699,297.08,3,5,5,74.2863,95.86,0.4488
C#CC(=NOCC1OCCO1)C2=CC=CC=C2,2.7583,,,,,231.09,0,4,4,63.456,40.05,1.4134
C#CC[C@@H](C(O)=N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCN=C1O)n1cccc(NC(=O)c2cc(C)on2)c1=O,1.09,0.66,,,,523.21,3,9,11,139.6618,168.61,2.77232
C#CC1(CCCCC1)O,1.73,,,,,124.09,1,1,0,36.8678,20.23,1.3148
C#CC1=C(C(=O)C(=C(C1=O)Cl)Cl)C#C,1.46,,,,,223.94,0,2,0,53.438,34.14,1.3904
C#CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OCCOCCOCCO4,,,3.55,9.032265,,391.15,1,7,2,109.8257,74.73,3.1591
C#CC1=CC=C(C=C1)C2=CC=CC=C2F,4.08,,,,,196.07,0,0,1,59.771,0,3.474
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(=O)O)c2)cc1,4.24,0.004,,,,392.12,1,4,4,117.6043,72.19,4.2356
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(S(N)(=O)=O)c2)cc1,3.18,0.018,,,,427.1,1,5,4,122.0182,95.05,3.1848
C#CCN(C)[C@H](C[18F])Cc1ccccc1,2.13,0.168,,,,204.13,0,1,5,61.372,3.24,2.1322
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,2.55,0.02807,8.336,21.2092848,,354.1,0,4,2,91.068,66.92,1.9281
C#CCO[C@H]1CN(c2ncc(C(=O)O)s2)CC[C@H]1N=C(O)c1[nH]c(C)c(Cl)c1Cl,2.81,0.03,,,,456.04,3,6,6,112.9798,111.04,3.38652
C#CCOc1ccc2cc(-c3nn(C(C)(C)C)c(N)c3C(=N)O)ccc2c1,3.15,0.01,,,,362.17,3,5,4,108.3629,97.15,3.93587
C(#N)/C(=C(\C#N)/N)/N,-0.54,,,,,108.04,2,4,0,26.6268,99.62,-0.83744
C(#N)[N-]C#N.[Na+],-0.79,,,,,89,0,2,0,14.585,61.68,-2.67374
C(#N)Br,1.59,,,,,104.92,0,1,0,14.54,23.79,0.86238
C(#N)C(=C(C#N)C#N)C#N,-0.21,,,,,128.01,0,4,0,29.478,95.16,0.37732
C(#N)C(Br)Br,2.02,,,,,196.85,0,1,0,27.255,23.79,1.62588
C(#N)C(C(=O)N)(Br)Br,0.82,,,,,239.85,1,2,1,35.3924,66.88,0.48138
C(#N)C(Cl)(Cl)Cl,2.09,,,,,142.91,0,1,0,25.903,23.79,1.88018
C(#N)C(Cl)Cl,1.3,,,,,108.95,0,1,0,21.107,23.79,1.31368
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,2.98,0.378,0,,,263.88,0,2,0,55.912,47.58,4.04356
C(#N)C1=C(C(=C(C(=N1)Cl)Cl)Cl)Cl,3.36,,,,,239.88,0,2,0,48.992,36.68,3.56688
C(#N)N,-0.82,,,,,42.02,1,2,0,9.8004,49.81,-0.57382
C(#N)N=C(N)N,-1.15,,,,,84.04,2,2,0,21.4228,88.19,-1.25912
C(/C(=C(/CO)\Br)/Br)O,1.01,,,,,243.87,2,2,2,39.0516,40.46,0.9724
C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,-0.22,,,,,174.02,3,3,4,35.6074,111.9,-0.4433
C(/C=C/C(=O)O)N,-1.77,,,,,101.05,2,2,2,25.8302,63.32,-0.4141
C(/C=C/CBr)Br,2.68,,,,,211.88,0,0,2,36.728,0,2.3324
C([C@@H](C(=O)O)N)O/C(=C/[N+]#N)/[O-],-2,,,,,173.04,2,5,4,34.7302,123.76,-1.57282
C([C@@H](C(=O)O)N)OP(=O)(O)O,-2.35,,,,,185.01,4,4,4,33.6073,130.08,-1.4924
C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N,-5.08,,,,,240.02,4,6,7,56.1384,126.64,-0.8084
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,-3.37,,,,,342.12,8,11,5,68.6414,189.53,-5.3956
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O,-3.07,,,,,358.11,9,11,8,71.3822,217.6,-5.6689
C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CCl)O)O)CCl)O)O)Cl)O,-0.67,,,,,396.01,5,8,5,79.544,128.84,-1.6561
C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)O)O.Cl,-2.3,,,,,215.06,5,6,1,45.2026,116.17,-2.8332
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@@H]([C@@H]([C@H]8O)O)O[C@@H]9[C@H](O[C@H](O2)[C@@H]([C@H]9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O,-10.99,,,,,1296.42,24,40,8,261.0672,633.2,-17.4064
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O,-1.76,,,,,1134.37,21,35,7,228.4338,554.05,-15.2306
C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,-1.45,,,,,972.32,18,30,6,195.8004,474.9,-13.0548
