,SMILES_rdkit_final,logP,Fup,Clint.invitro.,Clint.invivo.,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit,logP_rdkit
21774,Cn1cnc2ncn(Cc3nn(C4CC(c5ccc(Cl)cc5)C4)c(=O)o3)c(=O)c21,2.1,0.06,,,412.11,0,9,4,105.09800000000006,100.74000000000001,2.1000999999999994
21775,Cn1cnc2ncn(Cc3nn(CC(F)c4ccc(Cl)cc4)c(=O)o3)c(=O)c21,1.69,0.3,,,404.08,0,9,5,97.93500000000004,100.74000000000001,1.6921999999999997
21776,Cn1cncc1-c1cc(F)ccc1CN1CCP(=O)(O)C(CCCCN)(C(=O)O)C1,2.26,0.95,,,438.18,3,6,8,111.84350000000006,121.67999999999999,2.2645999999999997
21777,Cn1nc(C(C)(C)C)cc1NC(=O)C(C)(C)S(=O)(=O)c1ccc(Cl)cc1,3.56,0.064,,,397.12,1,5,4,103.25450000000005,81.06,3.562000000000002
21778,Cn1nc(C2CC2)c2ccc(Nc3n[nH]c4cccnc34)cc21,3.47,0.022,,,304.14,2,5,3,89.86040000000003,71.42,3.465600000000001
21779,Cn1nc(C2CC2)c2ccc(Nc3n[nH]c4ncccc34)cc21,3.47,0.03,,,304.14,2,5,3,89.86040000000003,71.42,3.465600000000001
21780,Cn1nc(C2CC2)c2ccc(Nc3n[nH]c4nccnc34)cc21,2.86,0.03,,,305.14,2,6,3,87.65540000000003,84.31,2.8606
21781,Cn1nc(-c2ccc(F)cc2)cc1C1(c2ccccn2)CCN(CCc2ccccc2)CC1.O=C(O)C(F)(F)F,5.25,0.01,,,554.23,1,5,6,143.12979999999988,71.25,5.879100000000005
21782,Cn1nc(-c2cccc3ccccc23)cc1C(=O)N1CCC(CO)CC1,3.08,0.023,,,349.18,1,4,3,101.86330000000004,58.36,3.0848000000000013
21783,Cn1nc(-c2ccncc2)cc1NC(=O)C(Cc1ccccc1)NCC(=O)O,1.71,0.16,,,379.16,3,6,8,104.64120000000005,109.14,1.7060999999999997
21784,Cn1nc(-c2cnc(N)c(-c3ccc(C(N)=O)c(F)c3)n2)nc1C1(c2ccccc2)CC1,2.84,0.2,,,429.17,2,7,5,116.8093,125.6,2.839200000000001
21785,Cn1nc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)n2)nc1C1(c2ccccc2)CC1,2.7,0.22,,,411.18,2,7,5,116.8513,125.6,2.700100000000001
21786,Cn1nc(-c2cnc(N)c(-c3cn[nH]c3)n2)nc1C1(c2ccccc2)CC1,2.32,0.39,,,358.17,2,7,4,100.4791,111.19,2.3243
21787,Cn1nc(-c2cnc(N)c(-c3nnc(C(C)(C)C)o3)n2)nc1C1(c2ccccc2)CC1,3.28,0.031,,,416.21,1,9,4,114.88940000000001,121.43,3.2817000000000025
21788,Cn1nc(-c2cnc3[nH]cc(C(=O)NC(C)(C)C)c3n2)c2cc(OC(F)F)ccc21,3.64,0.001,,,414.16,2,6,4,107.44790000000003,97.72,3.641300000000003
21789,Cn1nc(-c2cnc3[nH]cc(C(=O)NC(C)(C)C)c3n2)c2ccc(Cl)cc21,3.69,0.003,,,382.13,2,5,2,105.82590000000002,88.49,3.6933000000000025
21790,Cn1nc(-c2cnc3[nH]cc(C(=O)NC(C)(C)C)c3n2)c2ccc(F)cc21,3.18,0.0014,,,366.16,2,5,2,100.77390000000004,88.49,3.179000000000002
21791,Cn1nc(-c2cnc3[nH]cc(C(=O)NC(C)(C)CO)c3n2)c2ccc(Cl)cc21,2.67,0.003,,,398.13,3,6,4,107.23770000000002,108.72,2.665700000000001
21792,Cn1nc(-c2cnc3[nH]cc(C(=O)NC4(C)CC(N)C4)c3n2)c2ccc(F)cc21,2.26,0.08,,,393.17,3,6,3,106.63530000000003,114.50999999999999,2.2603
21793,Cn1ncc(C(=O)N2C3CCC2CC(Nc2cc(=O)n(C)c4ncccc24)C3)c1Cl,2.57,0.01,,,426.16,1,7,3,114.82620000000003,85.05,2.5681000000000003
21794,Cn1ncc(C(=O)N2C3CCC2CC(Nc2n[nH]c4ccc(F)cc24)C3)c1Cl,3.34,0.08,,,402.14,2,5,3,103.89390000000002,78.84,3.3366000000000007
