SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
CCC(C)c1ccc(O)cc1,3.6881742537017175,3.9003153171265224,<200,<50,<3,1-3,1-3,3-4,0.057519258326200244
Cc1ccccc1O,3.6881745899724834,4.261515311874514,<200,<50,<3,1-3,1-3,1-2,0.15545379362021722
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,3.6881742537017175,3.8604004147232507,200-300,<50,<3,<1,<1,>=4,0.04669685767762121
C1=CC(=CC(=C1)N(CC2=CN=CC=C2)C3=CC(=C(C=C3)OC(F)F)OC(F)F)C(=O)O,3.6881749262432497,3.0236230349030824,400-500,50-75,7-10,5-7,1-3,>=4,0.18018450219897683
C(Cl)(Cl)(Cl)Cl,3.6881745899724834,2.475878375626544,<200,<50,<3,<1,<1,2-3,0.32869816901599164
C[C@H](Nc1c(C(=N)O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12)C1CCOCC1,3.6881742537017175,2.094827567388932,400-500,100-150,>=10,7-10,3-5,3-4,0.432014991221658
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],3.6881745899724834,2.885894806844962,200-300,50-75,7-10,5-7,<1,3-4,0.21752760804820245
CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,3.6881745899724834,3.969435055988471,300-400,75-100,3-5,5-7,<1,2-3,0.0762600749734407
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,3.6881745899724834,2.630394674066566,200-300,<50,5-7,1-3,1-3,2-3,0.28680310757858074
Cc1cn2c(-c3cn[nH]c3)cnc2c(=Nc2cc(C(NC(C)(C)C)c3ccccn3)ns2)[nH]1,3.6881749262432497,3.434720483957125,400-500,100-150,5-7,7-10,3-5,>=4,0.06872083746740568
CC(O)=Nc1nc(C)c(-c2cc3c(c(NS(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,3.6881749262432497,2.267022161991698,400-500,100-150,5-7,5-7,1-3,3-4,0.38532687471397187
CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,3.6881742537017175,4.668975156893465,300-400,50-75,5-7,5-7,<1,3-4,0.2659312610509911
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,3.6881739174309516,4.360494395961876,200-300,50-75,3-5,3-5,1-3,3-4,0.18229085240878967
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,3.6881739174309516,1.8064181702367141,300-400,50-75,3-5,1-3,1-3,3-4,0.510213313642801
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,3.6881749262432497,2.6766060413572883,200-300,<50,<3,1-3,<1,3-4,0.2742735944902339
ClC=C(Cl)Cl,3.6881752625140156,3.365100801984549,<200,<50,<3,<1,<1,2-3,0.08759738946240869
CCNc1nc(Cl)nc(NCC)n1,3.6881749262432497,2.8388001674779244,200-300,50-75,3-5,5-7,1-3,2-3,0.23029679109011328
C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,3.6881745899724834,2.63587911300258,400-500,<50,>=10,3-5,<1,3-4,0.2853160741167792
COC(=O)CCCC(=O)OC,3.6881739174309516,4.777450581970629,<200,50-75,3-5,3-5,<1,0-1,0.2953430365855021
CCCCC1(C(=O)NC(=O)NC1=O)CC,3.6881745899724834,1.763732010547893,200-300,75-100,3-5,3-5,1-3,1-2,0.5217872865952612
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,3.6881749262432497,4.489575995561223,200-300,50-75,7-10,5-7,<1,2-3,0.2172893563594901
NCCNCCN,3.6881749262432497,1.8076710230351158,<200,50-75,3-5,3-5,3-5,<0,0.5098738926157809
CC(C)CN1C(C)Cc2cc(O)ccc2C1c1ccc(C=CC(=O)O)cc1,3.6881739174309516,4.44220292070873,300-400,50-75,5-7,3-5,1-3,>=4,0.20444504390049445
N#CSCSc1nc2ccccc2s1,3.6881745899724834,4.334820764847144,200-300,<50,3-5,5-7,<1,3-4,0.17532960275486134
CCCOC(=O)c1cc(O)c(O)c(O)c1,3.6881739174309516,4.847737547758402,200-300,75-100,3-5,5-7,3-5,1-2,0.3144004226325213
C1=CC=C2C(=C1)N=C(S2)SCSC#N,3.6881745899724834,4.334820764847144,200-300,<50,3-5,5-7,<1,3-4,0.17532960275486134
C1=CC=C(C=C1)NC(=O)CCl,3.6881749262432497,4.604902850257079,<200,<50,<3,1-3,1-3,1-2,0.2485587157192842
C1CC2=CC=CC3=C2C1=CC=C3,3.6881745899724834,2.589992962855732,<200,<50,<3,<1,<1,3-4,0.2977575000306588
CCOC(=O)c1ccc(N)cc1,3.6881742537017175,5.819630602548275,<200,50-75,<3,3-5,1-3,1-2,0.5779163466095344
CCCCCCCCCCCCN1CCCC1=O,3.6881745899724834,3.9039128064932873,200-300,<50,>=10,1-3,<1,>=4,0.05849457906244705
