SMILES,1A2,2B6,2A6,3A4,2CB,2C9,2C19,2D6,2E1,1A1,1A3,1A4,1A6,1A9,2B4,2B7,2B10,2B15,2B17,1A1,1B1,1E1,2A1
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,6.83103084564209,6.699701309204102,6.698212623596191,6.210047245025635,6.676986217498779,6.671847343444824,6.692811965942383,6.826552391052246,6.721808910369873,6.273181438446045,6.314913749694824,6.260157585144043,6.294044017791748,6.267166614532471,6.25438117980957,6.286594390869141,6.2689385414123535,6.2491960525512695,6.244462013244629,5.969305038452148,5.813765048980713,5.902835845947266,6.083314895629883
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,6.633793354034424,6.483237266540527,6.481161594390869,5.999969482421875,6.4603471755981445,6.45445442199707,6.475998878479004,6.6114959716796875,6.50349235534668,6.063914775848389,6.1031270027160645,6.05306339263916,6.082265853881836,6.058401107788086,6.04762077331543,6.077633380889893,6.061284065246582,6.041988849639893,6.037905693054199,5.77838134765625,5.634078025817871,5.717742919921875,5.89308500289917
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,6.440337181091309,6.294386863708496,6.292496204376221,5.812421798706055,6.269325256347656,6.265778064727783,6.286185264587402,6.422443389892578,6.316261291503906,5.864468574523926,5.905461311340332,5.852819442749023,5.883109092712402,5.860043048858643,5.849536895751953,5.880075454711914,5.863180160522461,5.8448333740234375,5.839940547943115,5.595571517944336,5.451479911804199,5.53196907043457,5.706182479858398
C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,6.54719877243042,6.447074890136719,6.458332538604736,6.053046703338623,6.415988922119141,6.419897079467773,6.426272392272949,6.569465637207031,6.490623474121094,6.019710063934326,6.054811954498291,6.012203216552734,6.028083801269531,6.0296502113342285,6.017406940460205,6.041021823883057,6.027320384979248,6.01668119430542,6.008597373962402,5.913269996643066,5.788662433624268,5.848730087280273,6.001663684844971
C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,6.697844505310059,6.6107048988342285,6.603405952453613,6.105368614196777,6.581969738006592,6.580594062805176,6.59991455078125,6.7358174324035645,6.629749298095703,6.155509948730469,6.197976112365723,6.140944004058838,6.174940586090088,6.151898384094238,6.1384735107421875,6.17248010635376,6.152726650238037,6.136000156402588,6.129825592041016,5.88184118270874,5.727387428283691,5.813912868499756,5.988216400146484
C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br,5.112070560455322,4.814299583435059,4.848186016082764,4.558837413787842,4.795020580291748,4.78627347946167,4.787077903747559,4.9162421226501465,4.865044593811035,4.548152446746826,4.564191818237305,4.5453996658325195,4.539938449859619,4.559083461761475,4.552733421325684,4.565566062927246,4.559249401092529,4.547401428222656,4.545059680938721,4.486952304840088,4.4095845222473145,4.4512176513671875,4.585021018981934
C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,4.625599384307861,4.299447059631348,4.326710224151611,4.004112720489502,4.28558349609375,4.272696018218994,4.279501914978027,4.4001851081848145,4.3374714851379395,4.049527645111084,4.063297271728516,4.04651403427124,4.044801235198975,4.052583694458008,4.048884868621826,4.064509391784668,4.057264804840088,4.042031288146973,4.040938377380371,3.9311182498931885,3.8470492362976074,3.9005396366119385,4.041734218597412
C(C(F)(Cl)Cl)(F)(F)Cl,3.1978108882904053,2.846886396408081,2.882331609725952,2.595989465713501,2.8386292457580566,2.824605703353882,2.826488494873047,2.94006085395813,2.8877954483032227,2.642479658126831,2.654869556427002,2.6424312591552734,2.6359148025512695,2.6483094692230225,2.647284507751465,2.6613073348999023,2.6527750492095947,2.6408677101135254,2.6401259899139404,2.539738416671753,2.4685747623443604,2.517224073410034,2.6483705043792725
C(C(F)(F)F)(C(F)(F)F)F,4.9058518409729,4.552671432495117,4.58015251159668,4.225925922393799,4.541804313659668,4.527065753936768,4.538858413696289,4.6655449867248535,4.589234352111816,4.29566764831543,4.309680461883545,4.292727470397949,4.296771049499512,4.294401168823242,4.2920427322387695,4.308248996734619,4.29951286315918,4.2838850021362305,4.282775402069092,4.116150379180908,4.019904613494873,4.081863880157471,4.235062599182129
C(C(F)(F)F)(Cl)Cl,3.201300621032715,2.856480360031128,2.893162965774536,2.6121606826782227,2.8468563556671143,2.8344802856445312,2.8351337909698486,2.9505462646484375,2.899996757507324,2.6472408771514893,2.660240411758423,2.6469147205352783,2.6397268772125244,2.654184579849243,2.6525564193725586,2.66679048538208,2.658036947250366,2.6470587253570557,2.645883321762085,2.5536983013153076,2.4781837463378906,2.5269718170166016,2.6612255573272705
