SMILES,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CO3,0.6853155657169583,0.4399497200319963,0.6000000000000001,0.8,0.30000000000000004,0.4391902564235394,0.5013734277866128
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(Cl)c2F)n1,0.31583528365782276,0.615686778653868,0.6000000000000001,0.7000000000000001,0.45,0.5683482065994945,0.517806370777312
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCC2)nc(SCc2cccc(F)c2F)n1,0.35185511263985064,0.5928750999885727,0.6000000000000001,0.7000000000000001,0.45,0.5426901083765159,0.517806370777312
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCC2)nc(SCc2cccc(F)c2F)n1,0.5558157746584189,0.6128870986173008,0.6000000000000001,0.7000000000000001,0.45,0.5661389285458532,0.517806370777312
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,0.7002993961479478,0.6329133813278481,0.6000000000000001,0.7000000000000001,0.45,0.5895877487151905,0.517806370777312
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(F)c2F)n1,0.4093975310484271,0.6357416295280538,0.6000000000000001,0.8,0.45,0.5741888267413047,0.5622861548841019
C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(O)sc12,0.5907304684886668,0.5056564964004113,0.6000000000000001,0.8,0.30000000000000004,0.4721470983037315,0.4393041299214495
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,0.802995233021367,0.267155182264884,0.4,0.30000000000000004,0.15000000000000002,0.2813035654700506,0.27762517469037634
C[C@H]1[C@@H](SC(=O)N1C(=O)NC2CCCCC2)C3=CC=C(C=C3)Cl,0.9086226743212047,0.4600188549880013,0.2,0.30000000000000004,0.1,0.4768267047373524,0.23810900679485325
C[C@H]1C(=O)N=S(=O)(N1)C2=CC=CC(=C2)C3=CC=C(C=C3)C,0.6320350651773492,0.38572734544623466,0.2,0.2,0.1,0.42182533092191904,0.28205869596645944
C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,0.2724162262383602,0.35868757856245004,0.4,0.4,0.15000000000000002,0.3684999611471791,0.4022456749072334
C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC[C@@H]6C[C@@H](CC[C@@]6([C@H]5CC4=C(C3)C)C)NS(=O)(=O)C)C)NC1,0.36199579324619574,0.6774797166038166,0.4,0.4,0.1,0.7132016806765369,0.32494819526769797
C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5CC4=C3C)C)O)C)NC1,0.6970880460609132,0.5445949034396068,0.4,0.30000000000000004,0.0,0.6095855242007365,0.1999421714616163
C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,0.4347723318102145,0.4916009598902982,0.6000000000000001,0.5,0.1,0.5058251298014341,0.4569900245771288
C[C@H]1CN(CCN1C(=O)CC2=CC=C(C=C2)Cl)CC3=C(C=CC(=C3)Cl)CC(=O)O,0.5742173779436084,0.5771768940692491,0.2,0.30000000000000004,0.30000000000000004,0.5810137183470131,0.2932388800539733
C[C@H]1CN(CCN1S(=O)(=O)CC2=CC=CC=C2)CC3=C(C=CC(=C3)Cl)CC(=O)O,0.505947395179635,0.5800337104330933,0.2,0.4,0.35000000000000003,0.5754412588517138,0.3754999759047757
C[C@H]1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2nnc(O)c3ccccc23)c1,0.22540200799915125,0.6715089704033824,0.2,0.7000000000000001,0.2,0.6072533391841111,0.46759192328080573
C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,0.45644747790609697,0.53573877271169,0.4,0.6000000000000001,0.15000000000000002,0.4838395119476233,0.4860970555635873
C[C@H]1COCCN1c1cc(C(C)(C)S(C)(=O)=O)nc(-c2ccc(NC(O)=NC3CC3)cc2)n1,0.7817377525884633,0.6330133699005827,0.4,0.7000000000000001,0.30000000000000004,0.6585847720304383,0.5638764396896535
C[C@H]1COCCN1c1nc(N2CCOC[C@@H]2C)c2ccc(-c3ccc4ncnc(O)c4c3)nc2n1,0.9838886186394867,0.6330276539824019,0.2,1.0,0.15000000000000002,0.6743823798140043,0.5282636981350296
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)C(=O)N(C)C)N5CCOC[C@@H]5C,0.39838465708829146,0.680222260313107,0.0,0.9,0.25,0.7241988065835471,0.4488940292034119
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)C(C)O)N5CCOC[C@@H]5C,0.738016999118452,0.6416409553193919,0.2,0.9,0.25,0.6866984701130389,0.4485085056141872
C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NCCO)N5CCOC[C@@H]5C,0.5274693962077635,0.6602102616843788,0.4,0.9,0.30000000000000004,0.6980404465484221,0.5442629270878512
C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,0.4717170340607552,0.40716775225688495,0.0,0.30000000000000004,0.2,0.42513620072230696,0.14799286781359935
C=CC(=O)NC1=CC=C(C=C1)F,0.34717693128359095,0.1928493886412981,0.2,0.1,0.1,0.22969736953705214,0.14023420558045396
C=CC(=O)NC1=CC=CC=C1,0.7049994650719396,0.16715232544852013,0.2,0.1,0.1,0.22991067914223132,0.14023420558045396
C=CC(O)=Nc1cc(N=c2nc(-c3cn(C)c4ccccc34)c(C#N)c[nH]2)c(OC)cc1N(C)CCN(C)C,0.5274693962077635,0.7059336075877042,0.4,0.8,0.45,0.7881155061354446,0.5689364367982266
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0.5274693962077635,0.7187464289795451,0.4,0.8,0.5,0.7972522675572851,0.43872584453761265
C=CCC1=CC2=C(C=C1)OCO2,0.5812491941228901,0.18857844817735112,0.0,0.2,0.1,0.2359915265298743,0.08895956821358007
C=CCOC1=C(C=CC(=C1)C2=CC=CC3=C2OC(=CC3=O)N4CCOCC4)NC(=O)CN5CCOCC5,0.8632129032940008,0.678736715803908,0.2,0.8,0.4,0.7238950943361729,0.45048431400896344
C1[C@@H]([C@H](C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O,0.945607492233903,0.38291338132784825,0.4,0.4,0.2,0.41422998533750405,0.32171943520794183
C1[C@H]([C@H](CN1C(=O)[C@@H]([C@H](CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)O)O)O,0.29688701222821856,0.6100588504170951,1.0,0.5,0.30000000000000004,0.6059480875524196,0.6066695580935858
C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,0.6047506036042313,0.31110730202262593,0.0,0.0,0.0,0.26151757594964675,0.0
C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,0.0,0.4682179179522339,0.0,0.0,0.05,0.4161467245040425,0.0
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,0.5084431291284419,0.2625985601645525,0.0,0.0,0.0,0.23607278733184728,0.0
C1=C(C=C(C(=C1Br)O)Br)C#N,0.49045325427328745,0.34968860701634097,0.2,0.2,0.0,0.24490888378638773,0.2121343549708448
