,SMILES,logP,Fup,Clint,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
200,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,3,,3.744,482.0,4.0,5.0,7.0,95.2685,90.82
201,C1=CC(=C(C=C1NC(=O)C2=C(C(=CC(=C2)Cl)Cl)O)Cl)Cl,5.11,9.31e-09,0.0,348.92,2.0,2.0,2.0,82.542,49.33
202,C1=CC(=C(C=C1O)O)C(=O)C2=C(C=C(C=C2)O)O,2.6,0.0354,19.2,246.05,4.0,5.0,2.0,62.9757,97.99
203,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O.O.O,1.54,5.73e-08,0.0,338.06,5.0,7.0,1.0,83.4716,194.36
204,C1=CC(=C(C2=NC=C(C=C21)Cl)C(=O)O)Cl,2.77,0.02799,0.0,240.97,1.0,2.0,1.0,58.7223,50.19
205,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,4.12,0.003583,37.05,248.04,1.0,3.0,1.0,57.1467,58.04
206,C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],1.49,0.391,0.0,168.02,0.0,4.0,2.0,39.7508,86.28
207,C1=CC(=CC(=C1)Br)COC2=CC=C(C=C2)CCC(=O)O,,,128.82,334.02,1.0,2.0,6.0,80.8728,46.53
208,C1=CC(=CC(=C1)C2=CC(=CC=C2)C(=O)O)C#N,,,8.13,223.06,1.0,2.0,2.0,63.5523,61.09
209,C1=CC(=CC(=C1)Cl)Cl,3.53,,200.0,145.97,0.0,0.0,0.0,36.462,0.0
210,C1=CC(=CC(=C1)CNCCC2=C(C=CC=C2Cl)Cl)CCNC[C@@H](C3=C4C(=C(C=C3)O)NC(=O)S4)O,,,5.17,531.12,5.0,6.0,11.0,143.9587,97.38
211,C1=CC(=CC(=C1)N(CC2=CN=CC=C2)C3=CC(=C(C=C3)OC(F)F)OC(F)F)C(=O)O,5.01,0.0142,7.69,436.1,1.0,5.0,9.0,103.1873,71.89
212,C1=CC(=CC(=C1)O)O,0.8,0.7448,14.48,110.04,2.0,2.0,0.0,29.7716,40.46
213,C1=CC(=CC=C1/C=C/C(=O)CC(=O)/C=C/C2=CC=C(C=C2)O)O,3.24,3.08e-08,112.0,308.1,2.0,4.0,6.0,88.9126,74.6
214,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,3.3,5.86e-08,62.9,228.08,3.0,3.0,2.0,66.8064,60.69
215,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],1.14,0.34,0.723,322.01,3.0,5.0,6.0,72.5667,112.7
216,C1=CC(=CC=C1[N+](=O)[O-])Cl,2.39,,400.0,156.99,0.0,2.0,1.0,38.1064,43.14
217,C1=CC(=CC=C1C#N)C2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)C4=C5C(=NC=C4)N=CN5,,,67.61,430.15,3.0,4.0,4.0,128.5591,106.49
218,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,6.73,1.62e-06,199.0,315.94,0.0,0.0,2.0,80.632,0.0
219,C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O,2.71,0.0196,21.1,230.06,3.0,4.0,2.0,61.3109,77.76
220,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,-0.05,0.75,0.0,440.16,6.0,10.0,9.0,113.4813,219.33
221,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,-0.03,0.0436,0.0,441.14,6.0,9.0,9.0,111.8946,213.28
222,C1=CC(=CC=C1C(=O)O)N,0.82,0.766,0.0,137.05,2.0,2.0,1.0,37.8137,63.32
223,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,5.02,1.57e-08,27.8,367.91,1.0,1.0,2.0,86.1928,20.23
224,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,6.91,3.6e-08,12.5,351.91,0.0,0.0,2.0,85.037,0.0
